visitorScore,homeScore,innings,homeWin
1,0,2,false
1,0,3,false
3,1,4,false
3,1,5,false
5,1,6,false
5,2,7,false
8,2,8,false
0,0,0,false
0,1,1,false
1,2,2,false
4,2,3,false
5,2,4,false
5,2,5,false
5,2,6,false
8,3,7,false
8,5,8,false
0,0,0,false
0,2,1,false
0,2,2,false
1,2,3,false
1,2,4,false
2,2,5,false
2,2,6,false
5,2,7,false
5,2,8,false
0,0,0,true
0,2,1,true
0,2,2,true
0,2,3,true
0,2,4,true
0,2,5,true
0,4,6,true
0,4,7,true
0,4,8,true
0,0,0,false
1,0,1,false
1,0,2,false
1,0,3,false
2,0,4,false
3,4,5,false
4,4,6,false
4,6,7,false
6,6,8,false
0,0,0,true
0,0,1,true
0,0,2,true
0,0,3,true
0,0,4,true
1,0,5,true
1,1,6,true
1,2,7,true
1,6,8,true
0,0,0,true
2,0,1,true
2,0,2,true
2,0,3,true
2,0,4,true
2,0,5,true
2,3,6,true
3,3,7,true
3,4,8,true
0,0,0,true
1,0,1,true
1,0,2,true
1,0,3,true
1,0,4,true
1,0,5,true
1,1,6,true
1,1,7,true
1,1,8,true
2,2,9,true
3,3,10,true
0,0,0,true
0,2,1,true
0,2,2,true
0,2,3,true
0,3,4,true
0,3,5,true
0,4,6,true
0,4,7,true
0,4,8,true
0,0,0,false
0,0,1,false
0,0,2,false
0,0,3,false
0,0,4,false
0,0,5,false
0,0,6,false
0,0,7,false
1,1,8,false
0,0,0,true
0,1,1,true
0,4,2,true
0,4,3,true
0,5,4,true
1,5,5,true
1,14,6,true
1,14,7,true
1,14,8,true
0,0,0,false
0,0,1,false
0,0,2,false
2,0,3,false
3,0,4,false
4,1,5,false
5,1,6,false
5,1,7,false
5,1,8,false
0,0,0,true
0,1,1,true
0,1,2,true
0,1,3,true
0,1,4,true
0,1,5,true
0,1,6,true
1,1,7,true
1,2,8,true
0,0,0,false
1,0,1,false
4,0,2,false
4,0,3,false
4,2,4,false
5,2,5,false
8,3,6,false
8,3,7,false
8,3,8,false
0,0,0,true
0,2,1,true
1,3,2,true
1,3,3,true
1,3,4,true
1,3,5,true
1,3,6,true
1,3,7,true
1,4,8,true
0,0,0,false
3,0,1,false
4,1,2,false
6,1,3,false
9,1,4,false
9,1,5,false
10,1,6,false
11,1,7,false
11,1,8,false
0,0,0,true
0,0,1,true
3,4,2,true
3,4,3,true
3,4,4,true
4,4,5,true
4,8,6,true
4,12,7,true
5,13,8,true
0,0,0,true
0,0,1,true
0,0,2,true
0,5,3,true
0,5,4,true
0,5,5,true
3,6,6,true
3,6,7,true
4,6,8,true
0,0,0,false
2,1,1,false
2,1,2,false
2,1,3,false
7,2,4,false
7,2,5,false
9,4,6,false
10,4,7,false
12,5,8,false
0,0,0,false
0,1,1,false
0,1,2,false
0,1,3,false
0,1,4,false
0,1,5,false
0,1,6,false
0,1,7,false
4,1,8,false
0,0,0,true
0,0,1,true
0,2,2,true
0,2,3,true
2,2,4,true
2,3,5,true
2,3,6,true
2,3,7,true
2,3,8,true
3,3,9,true
3,3,10,true
3,3,11,true
0,0,0,false
0,0,1,false
0,0,2,false
0,0,3,false
2,0,4,false
3,3,5,false
4,3,6,false
7,3,7,false
7,3,8,false
0,0,0,false
0,0,1,false
1,0,2,false
2,0,3,false
2,0,4,false
3,0,5,false
3,1,6,false
3,1,7,false
3,1,8,false
0,0,0,false
1,0,1,false
1,0,2,false
1,1,3,false
2,1,4,false
2,1,5,false
2,1,6,false
2,1,7,false
2,1,8,false
2,2,9,false
2,2,10,false
3,3,11,false
0,0,0,true
1,0,1,true
1,0,2,true
1,0,3,true
1,3,4,true
2,4,5,true
3,5,6,true
3,5,7,true
3,5,8,true
0,0,0,false
4,1,1,false
4,1,2,false
5,1,3,false
8,1,4,false
8,6,5,false
10,6,6,false
10,6,7,false
10,6,8,false
0,0,0,true
0,0,1,true
0,0,2,true
0,0,3,true
0,0,4,true
1,0,5,true
1,0,6,true
1,0,7,true
1,2,8,true
0,0,0,true
0,0,1,true
0,0,2,true
0,0,3,true
0,4,4,true
0,4,5,true
1,4,6,true
1,5,7,true
1,5,8,true
0,0,0,false
2,0,1,false
2,0,2,false
2,0,3,false
2,2,4,false
2,2,5,false
2,2,6,false
2,2,7,false
4,2,8,false
0,0,0,true
1,0,1,true
1,0,2,true
1,0,3,true
1,8,4,true
5,8,5,true
6,8,6,true
6,8,7,true
6,8,8,true
0,0,0,false
0,0,1,false
2,0,2,false
2,1,3,false
3,1,4,false
3,1,5,false
5,1,6,false
5,1,7,false
5,1,8,false
0,0,0,false
1,0,1,false
1,0,2,false
1,0,3,false
1,1,4,false
2,1,5,false
2,1,6,false
6,1,7,false
6,1,8,false
0,0,0,false
2,2,1,false
2,2,2,false
3,4,3,false
3,4,4,false
4,4,5,false
5,4,6,false
12,4,7,false
12,4,8,false
0,0,0,false
3,0,1,false
3,0,2,false
3,0,3,false
3,0,4,false
3,0,5,false
7,0,6,false
7,0,7,false
7,0,8,false
0,0,0,false
2,0,1,false
3,0,2,false
3,0,3,false
3,0,4,false
3,1,5,false
5,1,6,false
5,1,7,false
5,1,8,false
0,0,0,true
0,0,1,true
0,4,2,true
0,6,3,true
0,6,4,true
0,6,5,true
0,6,6,true
0,6,7,true
0,6,8,true
0,0,0,true
0,2,1,true
0,6,2,true
1,6,3,true
1,9,4,true
1,9,5,true
1,9,6,true
2,9,7,true
3,9,8,true
0,0,0,false
1,0,1,false
1,0,2,false
1,0,3,false
1,0,4,false
1,0,5,false
1,0,6,false
6,0,7,false
7,1,8,false
0,0,0,true
0,0,1,true
0,0,2,true
0,2,3,true
0,2,4,true
0,2,5,true
0,2,6,true
0,4,7,true
0,4,8,true
0,0,0,false
0,0,1,false
0,0,2,false
0,0,3,false
0,0,4,false
4,0,5,false
4,0,6,false
4,0,7,false
4,0,8,false
0,0,0,false
0,0,1,false
1,0,2,false
1,0,3,false
1,0,4,false
1,0,5,false
5,0,6,false
